,Movie Title,Released Year,Runtime,IMDB Rating,Director,Genre,Stars
0,12 Angry Men,1957,96 min,9.0,Sidney Lumet,"Crime, Drama","Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
1,12 Years a Slave,2013,134 min,8.1,Steve McQueen,Drama,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt"
2,1917,2019,119 min,8.3,Sam Mendes,Drama,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth"
3,3 Idiots,2009,170 min,8.4,Rajkumar Hirani,"Comedy, Drama","Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
4,A Beautiful Mind,2001,135 min,8.2,Ron Howard,Drama,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer"
5,A Clockwork Orange,1971,136 min,8.3,Stanley Kubrick,"Crime, Drama","Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke"
6,A Wednesday,2008,104 min,8.1,Neeraj Pandey,"Crime, Drama","Anupam Kher, Naseeruddin Shah, Jimmy Sheirgill, Aamir Bashir"
7,Ace in the Hole,1951,111 min,8.1,Billy Wilder,Drama,"Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall"
8,Ah-ga-ssi,2016,145 min,8.1,Chan-wook Park,Drama,"Kim Min-hee, Jung-woo Ha, Cho Jin-woong, Moon So-Ri"
9,All About Eve,1950,138 min,8.2,Joseph L. Mankiewicz,Drama,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm"
10,Amadeus,1984,160 min,8.3,Milos Forman,Drama,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice"
11,American Beauty,1999,122 min,8.3,Sam Mendes,Drama,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
12,American History X,1998,119 min,8.5,Tony Kaye,Drama,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien"
13,Amores perros,2000,154 min,8.1,Alejandro G. Iñárritu,Drama,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero"
14,Amélie,2001,122 min,8.3,Jean-Pierre Jeunet,Comedy,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta"
15,Anand,1971,122 min,8.4,Hrishikesh Mukherjee,Drama,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo"
16,Andaz Apna Apna,1994,160 min,8.2,Rajkumar Santoshi,Comedy,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor"
17,Andhadhun,2018,139 min,8.3,Sriram Raghavan,"Crime, Drama","Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan"
18,Andrei Rublev,1966,205 min,8.1,Andrei Tarkovsky,Drama,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev"
19,Apocalypse Now,1979,147 min,8.4,Francis Ford Coppola,Drama,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest"
20,Avengers: Endgame,2019,181 min,8.4,Anthony Russo,Drama,"Joe Russo, Robert Downey Jr., Chris Evans, Mark Ruffalo"
21,Ayla: The Daughter of War,2017,125 min,8.4,Can Ulkay,Drama,"Erdem Can, Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee"
22,Ba wang bie ji,1993,171 min,8.1,Kaige Chen,Drama,"Leslie Cheung, Fengyi Zhang, Gong Li, You Ge"
23,Baahubali 2: The Conclusion,2017,167 min,8.2,S.S. Rajamouli,Drama,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia"
24,Babam ve Oglum,2005,112 min,8.3,Çagan Irmak,Drama,"Çetin Tekindor, Fikret Kuskan, Hümeyra, Ege Tanman"
25,Bacheha-Ye aseman,1997,89 min,8.3,Majid Majidi,Drama,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi"
26,Back to the Future,1985,116 min,8.5,Robert Zemeckis,Comedy,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover"
27,Barfi!,2012,151 min,8.1,Anurag Basu,"Comedy, Drama","Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz, Saurabh Shukla"
28,Barry Lyndon,1975,185 min,8.1,Stanley Kubrick,Drama,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger"
29,Before Sunrise,1995,101 min,8.1,Richard Linklater,Drama,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl"
30,Before Sunset,2004,80 min,8.1,Richard Linklater,Drama,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès"
31,Ben-Hur,1959,212 min,8.1,William Wyler,Drama,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet"
32,Bhaag Milkha Bhaag,2013,186 min,8.2,Rakeysh Omprakash Mehra,Drama,"Farhan Akhtar, Sonam Kapoor, Pawan Malhotra, Art Malik"
33,Black,2005,122 min,8.2,Sanjay Leela Bhansali,Drama,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor"
34,Braveheart,1995,178 min,8.3,Mel Gibson,Drama,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
35,Capharnaüm,2018,126 min,8.4,Nadine Labaki,Drama,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad"
36,Casablanca,1942,102 min,8.5,Michael Curtiz,Drama,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains"
37,Casino,1995,178 min,8.2,Martin Scorsese,"Crime, Drama","Robert De Niro, Sharon Stone, Joe Pesci, James Woods"
38,Catch Me If You Can,2002,141 min,8.1,Steven Spielberg,"Crime, Drama","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen"
39,Chak De! India,2007,153 min,8.2,Shimit Amin,Drama,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla"
40,Chhichhore,2019,143 min,8.2,Nitesh Tiwari,"Comedy, Drama","Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik"
41,Chinatown,1974,130 min,8.1,Roman Polanski,Drama,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez"
42,Chung Hing sam lam,1994,102 min,8.1,Kar-Wai Wong,"Comedy, Crime, Drama","Brigitte Lin, Takeshi Kaneshiro, Tony Chiu-Wai Leung, Faye Wong"
43,Cidade de Deus,2002,130 min,8.6,Fernando Meirelles,"Crime, Drama","Kátia Lund, Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
44,Citizen Kane,1941,119 min,8.3,Orson Welles,Drama,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead"
45,City Lights,1931,87 min,8.5,Charles Chaplin,"Comedy, Drama","Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers"
